item_no,description,qty,location,plant_id
3MCLEAN,3M UXL 100 - CLEAN TRACESURFACE ATP ,0,,1
3MCLEAN,3M UXL 100 - CLEAN TRACESURFACE ATP ,7,,1
3MSWAB,RS96010LET SWAB SAMPLER WITH LETHEEN - 100/CS,0,,1
3MSWAB,RS96010LET SWAB SAMPLER WITH LETHEEN - 100/CS,101,,1
3MSWAB01,6414 - PETRIFILM E COLI/COLIFRM CT PLT - 500/CS,0,,1
3MSWAB01,6414 - PETRIFILM E COLI/COLIFRM CT PLT - 500/CS,4,,1
3MSWAB02,6406 - PETRIFILM AEROBIC CT PLT 1000EA/CS,0,,1
3MSWAB02,6406 - PETRIFILM AEROBIC CT PLT 1000EA/CS,8,,1
3MSWAB03,6478 - PETRIFILM RAP AEROB CT PLT 50EA/CS,6,,1
3MSWABDE,DESSL 10DE SPONGE-STICK ,76,,1
3MTAPE0001,WASHER - NYLON 15 MM,0,C3C,1
3MTAPE0005,BEARING 30MM,0,C3C,1
3MTAPE0010,"BLADE 2.56""/65MM",0,C3C,1
3MTAPE0015,"BLADE FOR 3"" TAPING HEAD",0,C3C,1
3MTAPE0020,SPRING - TENSION ROLLER,0,C3C,1
3MTAPE0025,ROLLER - TOP TENSION,0,C3C,1
3MTAPE0030,SPRING - COMPRESSION,0,C3C,1
3MTAPE0035,ROLLER - WRAP,0,C3C,1
3MTAPE0040,SHAFT - ROLLER,0,C3C,1
3MTAPE0050,BUSHING - BUFFING ROLLER,0,C3C,1
3MTAPE0060,SPRING - EXTENSION TOP,0,C3D,1
3MTAPE0070,SPRING - CUTTER,0,C3D,1
3MTAPE0072,ROLLER - BOTTOM TENSION,0,C3D,1
3MTAPE0090,ROLLER - IDLER,0,C3D,1
3MTAPE0095,SPRING - EXTENSION BOTTOM,0,C3D,1
3MTAPE0100,SHAFT - WRAP ROLLER,0,C3D,1
3MTAPE0101,SHAFT - WRAP ROLLER,0,,1
3MTAPE0110,GEAR - 28 TOOTH 1.5MM PITCH,0,C3D,1
3MTAPE0120,ROLLER IDLER,0,C3D,1
3MTAPE0125,ROLLER - BUFFING,0,C3D,1
3MTAPE0130,ROLLER - APPLYING,0,C3D,1
3MTAPE0135,BUSHING - APPLYING,0,C3E,1
3MTAPE0145,ROLLER - WRAP,0,C3E,1
3MTAPE0150,BUMPER,0,C3E,1
